brand, product_name, shipping
EVGA,EVGA GeForce RTX 2080 FTW3 ULTRA GAMING|| 08G-P4-2287-KR|| 8GB GDDR6|| iCX2 & RGB LED,Free Shipping
GIGABYTE,GIGABYTE GeForce GTX 1660 Ti WINDFORCE OC 6G Graphics Card|| 2 x WINDFORCE Fans|| 6GB 192-Bit GDDR6|| GV-N166TWF2OC-6GD Video Card,Free Shipping
MSI,MSI GeForce RTX 2060 DirectX 12 RTX 2060 VENTUS 6G OC Video Card,Free Shipping
ASRock,ASRock Phantom Gaming X Radeon RX 590 DirectX 12 RX590 8G OC Video Card,Free Shipping
ASUS,ASUS ROG Strix GeForce RTX 2070 DirectX 12 ROG-STRIX-RTX2070-8G-GAMING Video Card,Free Shipping
ASUS,ASUS GeForce RTX 2080 Overclocked 8G GDDR6 Dual-Fan Edition VR Ready HDMI DP 1.4 USB Type-C Graphics CardÂ (DUAL-RTX2080-O8G),Free Shipping
MSI,MSI Radeon RX Vega 56 DirectX 12 RX Vega 56 Air Boost 8G OC Video Card,Free Shipping
EVGA,EVGA GeForce RTX 2070 Black GAMING|| 08G-P4-1071-KR|| 8GB GDDR6|| Dual HDB Fans,Free Shipping
GIGABYTE,GIGABYTE Radeon RX 570 DirectX 12 GV-RX570GAMING-4GD Video Card,Free Shipping
Sapphire Tech,Sapphire PULSE Radeon RX 580 8GB GDDR5 PCI-E Dual HDMI / DVI-D / Dual DP OC w/ Backplate (UEFI)|| 100411P8GOCL,Free Shipping
XFX,XFX Radeon RX 580 GTS Black Edition 1405 MHz OC+|| 8GB 256-bit GDDR5|| DX12 VR Ready|| Double Dissipation|| Dual BIOS|| PCI-E AMD Graphics Card (RX-580P828D6),Free Shipping
ZOTAC,ZOTAC GeForce GTX 1060 DirectX 12 ZT-P10620A-10M Video Card,Free Shipping
